FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ACOUSTIC SOURCE; ; ;1468/001;1-15;X
2 M;MAXIMUM FUNDAMENTAL FREQUENCY; ; ;2283/005;3-8;ANS
3 M;MINIMUM FUNDAMENTAL FREQUENCY; ; ;2283/006;3-8;ANS
4 O;HARMONIC; ; ;1466/001;1-22;NS
