FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ANTENNA POLARIZATION CODE; ; ;1522/001;4-5;A
2 M;TRANSMISSION RATE IN KILOBITS PER SECOND; ; ;1521/001;3-4;N
3 M;CONTROLLING SIDE PRIMARY FREQUENCY; ;A;2064/009;3-14;ANS
;TRANSMIT FREQUENCY BAND CODE; ;B;1068/002;1;N
4 C;SUBORDINATE SIDE PRIMARY FREQUENCY; ; ;2064/011;3-14;ANS
5 O;CONTROLLING SIDE ALTERNATE FREQUENCY; ; ;2064/010;3-14;ANS
6 O;SUBORDINATE SIDE ALTERNATE FREQUENCY; ; ;2064/012;3-14;ANS
