FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RANGE LIMITATION INDICATOR; ; ;1117/002;1;N
* 2 M;MAXIMUM RANGE, TENS OF METRES; ; ;1563/002;1-4;N
