FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SUBMARINE OPERATING MODE; ; ;1056/001;3-13;AB
2 M;SUBMARINE PROPULSION MODE; ; ;1454/001;3-17;ABS
3 M;SUBMARINE DEPTH, FEET OR METRES, DECIMAL PERMITTED; ; ;2264/003;2-7;ANS
4 M;DEPTH MEASUREMENT METHOD; ; ;2286/001;3-21;X
