FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CONTROLLING GATEWAY SWITCH IDENTIFIER; ; ;1022/162;1-20;X
2 M;SUBORDINATE GATEWAY SWITCH IDENTIFIER; ; ;1022/163;1-20;X
