FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TASK ORGANIZATION COMMANDER;TOG;A;1037/003;1-20;X
;NATO MAJOR SUBORDINATE COMMANDER;MSC;B;1515/015;5-15;A
;COMMAND IDENTIFIER;CMD;C;1380/006;1-20;X
