FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;UNIT;UNIT;A;1022/057;1-30;X
;UNIT DESIGNATOR; ;B;2143/006;3-15;ANS
* 2 M;FAST PATROL BOAT TASK; ; ;1285/018;8-21;AB
