FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RIGHT BANK BEARING PRESSURE IN NEWTONS PER METRE SQUARED; ; ;1087/004;3;N
2 M;LEFT BANK BEARING PRESSURE IN NEWTONS PER METRE SQUARED; ; ;1087/007;3;N
