FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ICAO BASE CODE; ; ;1125/002;4;AN
2 M;LOCATION OPERATIONAL CONDITION CODE;LOC; ;1575/002;3;A
3 M;WEATHER OPERATIONAL CONDITION CODE;WX; ;1575/003;3;A
4 M;FUEL OPERATIONAL CONDITION CODE;FUEL; ;1575/004;3;A
5 M;NAVIGATION AID OPERATIONAL CONDITION CODE;NAV; ;1575/005;3;A
6 M;COMMUNICATION OPERATIONAL CONDITION CODE;COMM; ;1575/006;3;A
