FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TYPE OF ACCESS RIGHT BANK; ; ;1666/005;1-10;X
2 M;TYPE OF ACCESS LEFT BANK; ; ;1666/006;1-10;X
