FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;MISSION FIRED INDICATOR; ; ;1553/003;3;A
2 O;TARGET CONFIRMATION STATUS; ; ;1268/004;3;A
