FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;INTERVAL BETWEEN VOLLEYS IN SECONDS; ; ;1073/006;1-3;N
2 C;DURATION OF FIRE IN MINUTES; ; ;1072/021;1-3;N
