FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;LINE REFERENCE NUMBER;1;LN; ; ;1348/003;2;N;R
2 M;INTERNATIONAL MARITIME DANGEROUS GOODS INDICATOR;4;IMDG; ; ;1199/001;1-3;NS;R
3 C;IMDG COMPATIBILITY INDICATOR;9;COMPAT; ; ;1193/001;1;A;L
4 C;NET EXPLOSIVE QUANTITY;16;NEQ; ; ;1194/003;1-5;N;R
