FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NUMBER OF DEPLOYMENTS ENDING IN NEXT 24 HOURS; ; ;1044/316;1-3;N
2 M;NUMBER OF DEPLOYMENTS ENDING IN NEXT 48 HOURS; ; ;1044/317;1-3;N
