FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;ICAO BASE CODE;1;LOCATION; ; ;1125/002;4;AN;L
2 M;NATO AIRBORNE EARLY WARNING AIRCRAFT;10;ACFT TYPE; ; ;1015/014;3-6;AN;L
3 O;NUMBER OF AIRCRAFT ON 12HR ALERT;20;12HR; ; ;1044/219;1-3;N;R
4 O;NUMBER OF AIRCRAFT ON 6HR ALERT;25;6HR; ; ;1044/220;1-3;N;R
5 O;NUMBER OF AIRCRAFT ON 3HR ALERT;29;3HR; ; ;1044/221;1-3;N;R
6 O;NUMBER OF AIRCRAFT ON 1HR ALERT;33;1HR; ; ;1044/222;1-3;N;R
