FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;2043/001;14;ANS
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;2023/001;11;AN
;POSITION OR POINT NAME;NAME;C;1022/018;1-20;X
;START POSITION, BEARING AND DISTANCE IN NM FROM REF PT; ;D;2307/010;10-27;X
;LINE OF BEARING, LAT/LONG, SECONDS; ;E;2250/001;21;ANS
;DISTANCE IN NAUTICAL MILES (0-999); ;F;1089/006;1-3;N
