FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DURATION OF HAZARD IN ATTACK AREA AND UNIT OF MEASUREMENT; ; ;2324/002;5-8;ANS
2 M;DURATION OF HAZARD IN HAZARD AREA AND UNIT OF MEASUREMENT; ; ;2324/003;5-8;ANS
