FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;FIRE UNIT STATUS; ; ;1236/019;3;A
2 C;DTG RETURN TO ACTION, ZULU, 4 YR; ; ;2323/004;14;AN
