FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;MAXIMUM RATE OF FIRE; ; ;1368/002;4;NS
2 O;SUSTAINED RATE OF FIRE; ; ;1368/003;4;NS
