FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ACOUSTIC SOURCE; ; ;1468/001;1-15;X
2 M;FUNDAMENTAL FREQUENCY; ; ;2283/004;3-8;ANS
3 M;HARMONIC; ; ;1466/001;1-22;NS
4 O;ROTATIONAL SPEED (RPM); ; ;2174/001;4-6;ANS
5 O;TURNS PER KNOT (TPK); ; ;2287/001;4-7;ANS
