FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NATO STOCK NUMBER; ; ;1012/061;16;NBS
2 M;SHORT TITLE; ; ;1022/087;3-12;ANS
3 M;UNIT OF MEASUREMENT, STOCK ITEM; ; ;1008/051;1-3;A
4 M;CONTEXT QUANTITY, 1-999999;REQUEST;A ;1023/023;1-6;N
;CONTEXT QUANTITY, 0-999999;ISSUED;B ;1023/007;1-6;N
