FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;UNIT; ;A;1022/057;1-30;X
;UNIT DESIGNATOR;UD;B;2143/006;3-15;ANS
2 M;CALL SIGN; ; ;1129/001;1-38;X
* 3 M;RADIO FREQUENCY; ;A;2064/001;3-14;ANS
;MARITIME COMMUNICATIONS CHANNNEL NUMBER; ;B;2080/001;3-5;AN
;COMMUNICATIONS CODE;CC;C;1149/001;1-14;ANB
* 4 O;FREQUENCY PRIORITY; ; ;1124/001;1;A
* 5 O;TRANSMISSION MODE; ;A;1181/001;2-9;AB
;TRANSMISSION FREQUENCY MODE; ;B;1175/004;2-3;A
