FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TARGET ACQUISITION SOURCE; ; ;1243/003;2-6;A
2 C;LOCATION ACCURACY IN METRES; ; ;1052/004;1-3;N
3 C;EVALUATION OF REPORT RELIABILITY; ; ;1202/003;1;A
