FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CLASS OF SUPPLY; ; ;1231/001;2;N
2 O;DESCRIPTION OF SUPPLIES; ; ;1357/017;1-68;X
