FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SUBUNIT TYPE; ; ;1311/007;1-15;X
2 M;NUMBER, 1-99; ; ;1044/293;1-2;N
