FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;AREA OF INTEREST, LAT/LONG, TENTHS OF DEGREES (MET); ;A;2428/002;6;N
;CODED LOCATION NAME;N;B;1022/223;6;AN
