FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TACTICAL OBJECTIVE; ; ;1456/002;2;A
2 M;GENERAL STOPPING POWER; ; ;1427/005;3-6;A
