FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SOUNDING LINE DESIGNATOR; ; ;1515/006;3;AN
2 M;BEARING AND RANGE FROM FIXED POSITION TO WATERLINE; ; ;2471/002;5-8;NS
3 M;DTG, 4-DIGIT YEAR; ; ;2033/001;14;AN
4 M;WATER LINE AT TIME OF SOUNDING TO BACK OF BEACH DISTANCE; ; ;2473/004;2-7;ANS
5 M;VERTICAL RISE (FEET, YARDS OR METRES); ;A;2452/003;2-7;ANS
;VERTICAL RISE CODE; ;B;1773/001;3-6;A
6 M;DISTANCE BETWEEN SOUNDING LINES; ; ;2473/005;2-7;ANS
* 7 M;SOUNDING DEPTH (FEET, YARDS OR METRES); ; ;2453/002;2-7;ANS
