FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MILITARY COMMAND AUTHORITY; ; ;1028/022;1-50;X
2 M;UNIT; ; ;1022/057;1-30;X
* 3 O;RADIO FREQUENCY; ; ;2064/001;3-14;ANS
