FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MEDIA PRESENCE; ; ;1359/029;1;A
* 2 C;MEDIA IDENTIFIER; ; ;1380/004;1-30;X
* 3 C;MEDIA SIGNIFICANCE; ; ;1723/003;2;A
* 4 C;MEDIA TYPE; ; ;1153/002;2-3;A
