FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ORIGINATING UNIT IDENTIFIER; ; ;1028/019;1-9;ANS
2 M;AIRCRAFT TRACK NUMBER; ; ;1012/017;1-5;AN
3 M;AIRCRAFT TRACK IDENTIFICATION CODE; ; ;1271/002;1;A
4 O;TRACK CONFIDENCE LEVEL; ; ;1123/003;1;N
