FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ANGULAR CLOUD WIDTH IN DEGREES; ;A ;2315/002;6;AN
;ANGULAR CLOUD WIDTH IN MILS; ;B ;2317/002;7;AN
