FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RESERVATION START TIME; ; ;1072/024;1-4;NS
2 M;RESERVATION STOP TIME; ; ;1072/025;1-4;NS
