FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DESIGNATED AREA TYPE; ; ;1284/020;2-7;A
2 M;DESIGNATED AREA NUMBER;AREANO;A;1012/098;1-4;AN
;DESIGNATED AREA NAME;AREANAME;B;1022/102;1-20;X
