FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;AZIMUTH OF FIRE IN MILS;1;AZIMUTH; ; ;1048/002;4;N;R
2 M;AZIMUTH REFERENCE QUALIFIER, GRID, MAGNETIC OR TRUE NORTH;9;REF NORTH; ; ;1024/008;1;A;L
3 M;ANGLE TO CREST IN MILS POSITIVE OR NEGATIVE;19;ANGLE; ; ;1048/010;1-5;NS;R
4 M;DISTANCE TO CREST IN KILOMETRES;25;DISTANCE; ; ;1327/006;1-4;NS;R
