FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SCREEN LOCATION; ; ;1427/003;5;A
* 2 M;UNIT; ; ;1022/057;1-30;X
