FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;RESTRICTION FOUND; ; ;1594/002;2;A
* 2 M;RESTRICTION SIZE; ; ;2076/001;2-7;ANS
