FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;AIRLIFT MISSION REPORTING INDICATOR; ; ;1401/004;7;A
2 C;EXPLANATION; ; ;1357/003;1-67;X
