FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;UNIT IDENTIFICATION CODE (UIC);UIC;A;2141/001;7-9;AN
;UNIT NAME; ;B;1022/048;1-38;X
