FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;CONTROL AGENCY CALL SIGN, EXTENDED; ; ;1129/030;1-17;X
2 M;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;1068/013;1-8;NS
;PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;1396/002;1-8;AN
3 O;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;1068/014;1-8;NS
;SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;1396/003;1-8;AN
4 O;POSITION OR POINT NAME;NAME;A;1022/018;1-20;X
;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;B;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;C;2200/001;22;ANS
5 O;UNIT IDENTIFICATION CODE, SPECIFIC; ; ;1028/039;1-6;AN
