FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;DATA ENTRY;1;DE; ; ;1348/001;2;N;R
2 C;PRIMARY RADIO FREQUENCY;4;PRI-RF; ; ;2383/003;3-11;ANS;R
3 C;SECONDARY RADIO FREQUENCY;16;SEC-RF; ; ;2383/004;3-11;ANS;R
4 O;LOWER RADIO FREQUENCY LIMIT;28;LOW-RF-LIM; ; ;2383/005;3-11;ANS;R
5 O;UPPER RADIO FREQUENCY LIMIT;40;UPP-RF-LIM; ; ;2383/006;3-11;ANS;R
6 O;PULSE REPETITION FREQUENCY;52;PULSREP; ;A;2177/001;4-14;ANS;L
;PULSE REPETITION INTERVAL IN MICROSECONDS;null;PULSREP; ;B;2176/001;4-14;ANS;L
