FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;RESTRICTING FACTOR; ; ;1594/004;2;A
2 M;FACTOR WEIGHTING VALUE; ; ;1695/001;1-5;NS
