FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LOCATION, UTM 100-METRE; ;A ;2087/020;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B ;2024/001;15;AN
;LINE THRUST POSITION; ;C;1012/239;3-9;ANS
2 O;BEARING (001-360) IN DEGREES, TRUE; ; ;1791/006;3;N
3 O;DISTANCE IN METRES; ;A;1052/001;1-4;N
;DISTANCE IN NAUTICAL MILES;NM;B;1089/001;1-5;NS
