FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TYPE OF NBC REPORT; ;A ;1018/008;3-4;A
;TYPE OF NBC WIND REPORT; ;B ;1018/003;3;A
