FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;COMMAND RELATIONSHIP QUALIFIER; ; ;1130/034;3;A
2 M;COMMAND RELATIONSHIP TYPE; ; ;1660/002;1-5;A
