FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NAVIGATION BUOY OR MARKER CODE; ; ;1200/003;8-9;AB
2 M;NAVIGATION AID DESCRIPTION; ; ;1363/015;1-30;X
3 M;GEOGRAPHIC POSITION, UTM 10-METRE; ;A;2086/001;13;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;2024/001;15;AN
