FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NUMBER OF ANALOGUE CHANNELS; ; ;1044/279;1-2;N
2 O;NUMBER OF DIGITAL CHANNELS; ; ;1044/278;1-2;N
