FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TERMINAL MODULATION TYPE; ; ;1498/002;4;A
2 M;SATELLITE TERMINAL ERROR CODING INDICATOR; ; ;1304/003;2-3;A
3 M;SATELLITE TERMINAL TRANSMIT POWER; ; ;2310/002;2-7;AN
4 M;SATELLITE TERMINAL DATA RANDOMIZING INDICATOR CODE; ; ;1304/004;2-3;A
5 M;SATELLITE LOOK ANGLE; ; ;2311/001;14;ANS
6 M;TELEPHONE NUMBER; ; ;1361/002;1-23;X
7 O;CONTACT NAME; ; ;1022/007;1-20;X
