FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;FIRST SELECTED PROJECTILE; ; ;1560/003;3;A
2 O;SECOND SELECTED PROJECTILE; ; ;1560/004;3;A
