FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;VOLLEYS FIRST PROJECTILE/FUZE; ; ;1044/282;1-2;N
2 O;VOLLEYS SECOND PROJECTILE/FUZE; ; ;1044/281;1-2;N
