FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;PLATFORM TYPE; ; ;1426/002;5-11;A
2 M;TARGET IDENTIFIER; ; ;1416/001;1-30;X
3 M;MARITIME DISTANCE; ; ;2158/001;2-8;ANS
