FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SURF LOCATION; ; ;1118/002;1-2;A
2 M;WAVE/BREAKER ANGLE; ; ;1043/021;1-2;N
3 M;SURF ZONE WIDTH (FEET, YARDS OR METRES); ; ;2451/003;2-7;ANS
4 M;NUMBER OF WAVES IN SURF ZONE; ; ;1044/063;1-2;N
5 M;SIGNIFICANT WAVE/BREAKER HEIGHT IN FEET OR METRES; ; ;2478/002;2-8;ANS
6 M;MAXIMUM WAVE/BREAKER HEIGHT IN FEET OR METRES; ; ;2478/003;2-8;ANS
7 M;WAVE PERIOD IN SECONDS AND HALF SECONDS; ; ;2104/001;3-5;NS
* 8 M;BREAKER TYPE; ; ;1776/001;5-6;A
* 9 M;PERCENTAGE OF OBSERVED BREAKERS; ; ;1064/047;1-3;N
