FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MISSION LOCATION, UTM 10-METRE; ;A;2086/042;13;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;2024/001;15;AN
2 M;DAY-TIME OF POSITION; ; ;2000/018;7;AN
3 M;ENEMY SIGHTING; ; ;1027/051;2-3;A
