FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ENVIRONMENTAL PREDICTION SYSTEM PRODUCT; ; ;1511/001;4-6;A
2 M;DATE-TIME MONTH OF START, VERIFIED; ; ;2032/003;11;AN
3 M;DATE-TIME MONTH OF STOP, VERIFIED; ; ;2032/004;11;AN
