FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;MILITARY LOAD CLASSIFICATION (TRACKED); ; ;1253/006;3;N
2 M;MILITARY LOAD CLASSIFICATION (WHEELED); ; ;1253/007;3;N
