FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;UNIT DESIGNATION; ; ;1028/026;1-35;X
2 M;GEOGRAPHIC POSITION, UTM 100-METRE; ; ;2087/001;11;AN
3 M;UNIT DESIGNATION OF HIGHER ECHELON; ; ;1028/027;1-35;X
4 O;GEOGRAPHIC POSITION, UTM 100-METRE; ; ;2087/001;11;AN
