FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DETAILED AIR STABILITY CATEGORY; ;A;1313/001;1;N
;SIMPLIFIED AIR STABILITY CATEGORY; ;B;1126/001;1;A
2 M;SURFACE AIR TEMPERATURE AND UNIT OF MEASUREMENT; ; ;2319/001;2-4;ANS
3 M;RELATIVE HUMIDITY RANGE; ; ;1315/001;1;N
4 M;SIGNIFICANT WEATHER PHENOMENA; ; ;1386/006;1;AN
5 M;CLOUD COVER, DEGREE OF; ; ;1328/001;1;N
