FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;ICAO BASE CODE;1;LOCATION; ; ;1125/002;4;AN;L
2 M;NATO AIRBORNE EARLY WARNING AIRCRAFT;10;ACFT TYPE; ; ;1015/014;3-6;AN;L
3 M;NUMBER OF CREWS ASSIGNED;20;ASSGD; ; ;1044/207;1-2;N;R
4 M;NUMBER OF CREWS COMBAT READY;26;COMBAT RDY; ; ;1044/208;1-2;N;R
5 M;NUMBER OF CREWS AAR QUALIFIED;37;AAR QUAL; ; ;1044/209;1-2;N;R
6 M;NUMBER OF CREWS AVAILABLE;46;CREW AVAIL; ; ;1044/210;1-2;N;R
