FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SITE NAME; ; ;1022/068;1-38;X
2 M;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;A;2019/001;6;AN
;GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;B;2020/001;10;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;C;2024/001;15;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;D;2087/001;11;AN
