FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ICAO DEPARTURE LOCATION; ; ;1125/004;4;AN
2 M;DAY-TIME OF TAKEOFF; ; ;2000/075;7;AN
3 M;DAY-TIME OF LANDING; ; ;2000/076;7;AN
4 M;ICAO RECOVERY BASE; ; ;1125/005;4;AN
5 M;DURATION TIME IN HOURS AND TENTHS; ; ;2133/002;3-4;NS
