FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DAY-TIME ON TARGET; ;A;2000/085;7;AN
;DTG ON TARGET, 4 DIGIT YR; ;B;2033/049;14;AN
* 2 O;DAY-TIME SENSOR ON; ; ;2000/083;7;AN
* 3 C;DAY-TIME SENSOR OFF; ; ;2000/084;7;AN
