FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;FACILITIES EXIST; ; ;1027/058;2-3;A
2 C;CONDITION; ; ;1675/003;1;A
3 C;REPAIRABLE; ; ;1027/059;2-3;A
