FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SUBNOTE SET IDENTIFIER; ; ;1369/002;3-8;A
* 2 O;IDENTIFYING INFORMATION; ; ;1370/002;1-35;X
