FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;OBSERVER-FLASH/SOUND AZIMUTH TO HOSTILE BATTERY IN MILS; ;A ;1048/013;4;N
;DIRECTION OF SHELL GROOVE IN MILS;DSG;B;1048/012;4;N
2 C;DISTANCE IN METRES FROM OBSERVER TO HOSTILE BATTERY; ; ;1052/005;1-5;N
3 C;FLASH-TO-BANG TIME IN SECONDS; ; ;1073/003;1-3;N
